30,30
id,fName,lName,phone,age,sex,department,salary,overtime,deduction
1,John,Doe,555-123-4567,30,m,Engineering,75000.00,2000.00,500.00
2,Jane,Smith,555-234-5678,25,f,Marketing,65000.00,1500.00,300.00
3,Emily,Johnson,555-345-6789,35,f,HR,72000.00,1800.00,400.00
4,Michael,Brown,555-456-7890,40,m,Finance,85000.00,2500.00,600.00
5,Chris,Davis,555-567-8901,28,m,IT,70000.00,1700.00,450.00
6,Sarah,Miller,555-678-9012,32,f,Design,67000.00,1600.00,350.00
7,Robert,Wilson,555-789-0123,45,m,Logistics,80000.00,2200.00,550.00
8,Linda,Moore,555-890-1234,38,f,Admin,69000.00,1400.00,320.00
9,James,Taylor,555-901-2345,29,m,Sales,73000.00,1900.00,480.00
10,Mary,Anderson,555-012-3456,33,f,Support,64000.00,1300.00,300.00
11,Daniel,Thomas,555-123-4560,36,m,Engineering,77000.00,2000.00,400.00
12,Karen,Jackson,555-234-5670,26,f,Marketing,66000.00,1500.00,320.00
13,David,White,555-345-6780,31,m,HR,71000.00,1800.00,500.00
14,Jessica,Harris,555-456-7891,27,f,Finance,80000.00,2200.00,600.00
15,Thomas,Martin,555-567-8902,42,m,IT,76000.00,1700.00,450.00
16,Patricia,Garcia,555-678-9013,39,f,Design,68000.00,1600.00,350.00
17,Mark,Martinez,555-789-0124,37,m,Logistics,82000.00,2500.00,550.00
18,Barbara,Rodriguez,555-890-1235,34,f,Admin,70000.00,1400.00,300.00
19,Andrew,Lewis,555-901-2346,41,m,Sales,74000.00,1900.00,400.00
20,Susan,Walker,555-012-3457,30,f,Support,65000.00,1300.00,320.00
21,Paul,Hall,555-123-4561,43,m,Engineering,76000.00,2000.00,450.00
22,Anna,Allen,555-234-5671,29,f,Marketing,66000.00,1500.00,400.00
23,Steven,Young,555-345-6781,28,m,HR,71000.00,1800.00,320.00
24,Kimberly,King,555-456-7892,35,f,Finance,79000.00,2200.00,500.00
25,Edward,Wright,555-567-8903,38,m,IT,75000.00,1700.00,350.00
26,Lisa,Scott,555-678-9014,32,f,Design,67000.00,1600.00,320.00
27,George,Torres,555-789-0125,40,m,Logistics,81000.00,2500.00,600.00
28,Dorothy,Nelson,555-890-1236,33,f,Admin,69000.00,1400.00,400.00
29,Peter,Carter,555-901-2347,45,m,Sales,73000.00,1900.00,500.00
30,Nancy,Mitchell,555-012-3458,31,f,Support,64000.00,1300.00,300.00
